Season	Week	Team	Elo	IsPlayoff
2021	6	Simi	1387.96	0
2021	6	Tommy	1440.19	0
2021	7	Benni	1540.43	0
2021	7	Erik	1484.66	0
2021	7	Juschka	1513.82	0
2021	7	Kessi	1586.90	0
2021	7	Marv	1566.64	0
2021	7	Ritz	1467.57	0
2021	7	Simi	1376.93	0
2021	7	Tommy	1463.06	0
2021	8	Benni	1526.34	0
2021	8	Erik	1498.74	0
2021	8	Juschka	1504.33	0
2021	8	Kessi	1560.29	0
2021	8	Marv	1576.13	0
2021	8	Ritz	1494.18	0
2021	8	Simi	1389.34	0
2021	8	Tommy	1450.65	0
2021	9	Benni	1507.43	0
2021	9	Erik	1514.43	0
2021	9	Juschka	1489.90	0
2021	9	Kessi	1571.17	0
2021	9	Marv	1560.44	0
2021	9	Ritz	1513.09	0
2021	9	Simi	1378.45	0
2021	9	Tommy	1465.07	0
2021	10	Benni	1530.46	0
2021	10	Erik	1518.73	0
