block_id,week,teams,players,values
196,4,Amari and Dorial GmbH,Josh Brown · K · NYG; Cody Parkey · K · PHI,
197,4,colin's edelmaenner,John Brown · WR · ARI; Mike Wallace · WR · MIN,
198,4,Die Punter,Carolina Panthers · DEF · CAR; Jonathan Stewart · RB · CAR,17.06
199,4,Fetti EV,Karlos Williams · RB · BUF; Terrance Williams · WR · DAL,
200,3,oG United,Miami Dolphins · DEF · MIA; Baltimore Ravens · DEF · BAL,
201,3,colin's edelmaenner,Mike Wallace · WR · MIN; Tyler Lockett · WR · SEA,
202,3,Amari and Dorial GmbH|oG United,Jason Witten · TE · DAL; Matt Ryan · QB · ATL; Jason Witten · TE · DAL; Matt Ryan · QB · ATL,30.49;-30.49
203,3,Kessinho10,Eric Decker · WR · NYJ; Darren McFadden · RB · DAL,-3.94
204,3,oG United,Stevie Johnson · WR · LAC; Roddy White · WR · ATL,
205,3,WhoDatNation,James Starks · RB · GB; New Orleans Saints · DEF · NO,
206,3,Kessinho10,Denver Broncos · DEF · DEN; Miami Dolphins · DEF · MIA,9.63
207,3,WhoDatNation,Isaiah Crowell · RB · CLE; C.J. Spiller · RB · FA,
208,3,Amari and Dorial GmbH,Travis Benjamin · WR · CLE; Mike Wallace · WR · MIN,
209,3,Fetti EV,Dion Lewis · RB · NE; Joique Bell · RB · DET,
210,3,Promille Boords,DeAngelo Williams · RB · PIT; Coby Fleener · TE · IND,30.28
211,2,Kessinho10,Ladarius Green · TE · LAC; Greg Olsen · TE · CAR,-71.91
212,2,colin's edelmaenner,Mike Evans · WR · TB; Martavis Bryant · WR · FA,
213,2,Die Punter,Carlos Hyde · RB · SF; Golden Tate · WR · DET,
214,2,WhoDatNation,New Orleans Saints · DEF · NO; Green Bay Packers · DEF · GB,
215,2,Kessinho10,Danny Woodhead · RB · LAC; Jarryd Hayne · RB · SF,44.72
216,2,Promille Boords,Bishop Sankey · RB · TEN; Torrey Smith · WR · SF,
217,2,Promille Boords,Kendall Wright · WR · TEN; Mike Evans · WR · TB,
218,2,Fetti EV,Donte Moncrief · WR · IND; Victor Cruz · WR · FA,
219,2,Kessinho10,Tyler Eifert · TE · CIN; Zach Ertz · TE · PHI,
220,2,Fetti EV,Carson Palmer · QB · ARI; Matthew Stafford · QB · DET,13.78
221,2,oG United,LeGarrette Blount · RB · FA; Giovani Bernard · RB · CIN,-0.56
222,2,Promille Boords,Austin Seferian-Jenkins · TE · TB,
223,2,colin's edelmaenner,Tyler Lockett · WR · SEA; Carlos Hyde · RB · SF,
224,1,Kessinho10,Zach Ertz · TE · PHI; Indianapolis Colts · DEF · IND,
225,1,colin's edelmaenner,Alfred Blue · RB · HOU; Marcus Mariota · QB · TEN,
226,1,oG United,Roddy White · WR · ATL,
227,1,Promille Boords|oG United,Mike Evans · WR · TB; Davante Adams · WR · GB; Demaryius Thomas · WR · DEN; Mike Evans · WR · TB; Davante Adams · WR · GB; Demaryius Thomas · WR · DEN,-176.8;176.8
228,1,WhoDatNation,Green Bay Packers · DEF · GB; New Orleans Saints · DEF · NO,
229,1,colin's edelmaenner,Charles Clay · TE · BUF; LeGarrette Blount · RB · FA,
230,1,WhoDatNation,John Brown · WR · ARI; Charles Johnson · DL · CAR,
231,1,Kessinho10,Jarryd Hayne · RB · SF; Kevin White · WR · FA,
232,1,Promille Boords,Jordy Nelson · WR · FA,
233,1,Promille Boords,Kelvin Benjamin · TE · FA,
234,1,Promille Boords,Cincinnati Bengals · DEF · CIN; Green Bay Packers · DEF · GB,10
235,1,Amari and Dorial GmbH,Tevin Coleman · RB · ATL; Anquan Boldin · WR · SF,
236,1,Amari and Dorial GmbH,Doug Martin · RB · TB; Adam Vinatieri · K · IND,41
237,1,Amari and Dorial GmbH,Allen Robinson · WR · JAX; Andre Williams · RB · NYG,69.4
238,1,Fetti EV,Joseph Randle · RB · DAL; Tevin Coleman · RB · ATL,
239,1,oG United,Latavius Murray · RB · LV; Doug Martin · RB · TB,-19.3
240,1,Amari and Dorial GmbH,Anquan Boldin · WR · SF; Latavius Murray · RB · LV,-21.7
241,1,Amari and Dorial GmbH,Andre Williams · RB · NYG; Zach Ertz · TE · PHI,
242,1,Amari and Dorial GmbH,Mike Wallace · WR · MIN; Joseph Randle · RB · DAL,
243,1,colin's edelmaenner,Martavis Bryant · WR · FA; Pierre Garcon · WR · WAS,
244,1,oG United,Jason Witten · TE · DAL; Breshad Perriman · WR · FA,
245,1,oG United,Doug Martin · RB · TB; Rashad Jennings · RB · NYG,41
246,1,Fetti EV,Jordan Cameron · TE · MIA; Delanie Walker · TE · TEN,-49.8
247,1,Fetti EV,Tevin Coleman · RB · ATL; Isaiah Crowell · RB · CLE,
248,1,oG United,Davante Adams · WR · GB; Jordan Cameron · TE · MIA,
249,1,Die Punter,Ameer Abdullah · RB · DET; Fred Jackson · RB · SEA,
250,1,colin's edelmaenner,Arizona Cardinals · DEF · ARI; San Francisco 49ers · DEF · SF,43
251,1,WhoDatNation,New York Jets · DEF · NYJ; Arizona Cardinals · DEF · ARI,-43
252,1,Die Punter,Fred Jackson · RB · SEA; Andre Williams · RB · NYG,
253,1,Fetti EV,Victor Cruz · WR · FA,
254,1,Fetti EV,Dwayne Allen · TE · IND,
