season,team,wins,losses,ties,points_for,points_against,points_share_avg,opp_points_share_avg,high_scores,top_scores,top_half_scores,worst_scores,bottom_scores,bottom_half_scores,blowout_wins,blowout_losses,narrow_wins,narrow_losses,all_play_wins,all_play_losses,games,win_pct,all_play_win_pct,winning_record,losing_record,sos_avg_opp_points
2022,Juschka,4,10,0,1281.68,1420.94,0.47073828847187016,0.52926171152813,1,3,4,2,9,10,1,3,1,0,35.0,63.0,14,0.2857142857142857,0.35714285714285715,False,True,1436.8999999999999
2022,Kessi,6,8,0,1258.1200000000001,1418.76,0.47215017849927177,0.5278498215007282,0,3,4,3,7,10,1,3,1,0,34.0,64.0,14,0.42857142857142855,0.3469387755102041,False,True,1440.2657142857145
2022,Marv,4,10,0,1234.14,1469.6,0.45675193898850225,0.5432480610114977,0,2,4,5,10,10,0,4,1,2,26.0,72.0,14,0.2857142857142857,0.2653061224489796,False,True,1443.6914285714286
2022,Ritz,11,3,0,1455.7,1288.62,0.5368799385138531,0.4631200614861469,2,7,8,0,4,6,4,1,1,0,56.0,42.0,14,0.7857142857142857,0.5714285714285714,True,False,1412.0400000000002
2022,Simi,4,10,0,1439.32,1605.1,0.47149877443398314,0.5285012255660169,1,6,8,1,2,6,1,2,1,2,55.0,43.0,14,0.2857142857142857,0.5612244897959183,False,True,1414.3799999999999
2022,Tommy,9,5,0,1471.08,1337.24,0.5268002585666937,0.4731997414333064,0,6,8,1,3,6,3,1,0,0,55.0,43.0,14,0.6428571428571429,0.5612244897959183,True,False,1409.8428571428572
2023,Benni,8,6,0,1547.52,1345.08,0.5259360942814795,0.4740639057185206,5,8,8,1,4,6,4,1,0,2,62.0,36.0,14,0.5714285714285714,0.6326530612244898,True,False,1380.8314285714284
2023,Erik,7,7,0,1497.56,1461.08,0.5054917829437863,0.49450821705621373,3,8,10,0,3,4,1,0,0,3,63.0,35.0,14,0.5,0.6428571428571429,False,False,1387.9685714285715
2023,Juschka,5,9,0,1239.44,1398.46,0.47708365845399686,0.5229163415460032,1,1,4,6,8,10,2,4,0,0,27.0,71.0,14,0.35714285714285715,0.2755102040816326,False,True,1424.8428571428572
2023,Kessi,5,9,0,1283.74,1452.26,0.47366396585634085,0.5263360341436591,0,0,5,2,7,9,0,3,2,1,32.0,66.0,14,0.35714285714285715,0.32653061224489793,False,True,1418.5142857142857
2023,Marv,6,8,0,1310.6,1433.6,0.478537916011316,0.521462083988684,0,4,4,3,7,10,0,2,1,0,37.0,61.0,14,0.42857142857142855,0.37755102040816324,False,True,1414.6771428571428
2023,Ritz,6,8,0,1392.84,1416.1,0.4942998652357324,0.5057001347642676,1,5,6,0,5,8,2,2,2,0,49.0,49.0,14,0.42857142857142855,0.5,False,True,1402.9285714285713
2023,Simi,10,4,0,1410.72,1314.4,0.5153809130952983,0.4846190869047017,1,5,8,2,5,6,1,2,2,1,51.0,47.0,14,0.7142857142857143,0.5204081632653061,True,False,1400.3742857142856
2023,Tommy,9,5,0,1530.92,1392.36,0.5296058041220498,0.47039419587795006,3,11,11,0,3,3,6,2,0,0,71.0,27.0,14,0.6428571428571429,0.7244897959183674,True,False,1383.202857142857
2024,Benni,10,4,0,1421.88,1377.22,0.510046156616217,0.489953843383783,1,5,8,1,4,6,1,1,2,0,53.0,45.0,14,0.7142857142857143,0.5408163265306123,True,False,1428.1142857142856
2024,Erik,4,10,0,1374.2,1574.0,0.46505130358543567,0.5349486964145643,2,4,7,2,5,7,0,4,0,0,45.0,53.0,14,0.2857142857142857,0.45918367346938777,False,True,1434.9257142857143
2024,Juschka,4,10,0,1306.64,1442.08,0.47530304360736714,0.5246969563926329,0,3,6,3,7,8,0,0,2,1,36.0,62.0,14,0.2857142857142857,0.3673469387755102,False,True,1444.577142857143
2024,Kessi,8,6,0,1474.9,1286.3,0.5313255444096523,0.46867445559034776,2,5,6,2,6,8,4,0,1,2,48.0,50.0,14,0.5714285714285714,0.4897959183673469,True,False,1420.5400000000002
2024,Marv,7,7,0,1457.14,1530.18,0.48521660352555057,0.5147833964744495,3,7,8,2,6,6,2,4,0,0,55.0,43.0,14,0.5,0.5612244897959183,False,False,1423.077142857143
2024,Ritz,5,9,0,1400.84,1493.12,0.48608281320335406,0.513917186796646,1,5,5,1,5,9,1,3,0,1,44.0,54.0,14,0.35714285714285715,0.4489795918367347,False,True,1431.1200000000001
2024,Simi,7,7,0,1418.34,1327.08,0.5194499254686896,0.48055007453131043,1,4,7,1,6,7,3,0,0,1,47.0,51.0,14,0.5,0.47959183673469385,False,False,1428.6200000000001
2024,Tommy,11,3,0,1564.74,1388.7,0.5275246095837338,0.4724753904162662,4,9,9,2,3,5,2,1,0,0,64.0,34.0,14,0.7857142857142857,0.6530612244897959,True,False,1407.7057142857143
2025,Benni,9,5,0,1443.84,1495.84,0.49259957731385995,0.50740042268614,4,6,7,1,3,7,1,4,1,0,58.0,40.0,14,0.6428571428571429,0.5918367346938775,True,False,1386.9657142857143
2025,Erik,6,8,0,1245.54,1334.0,0.48777641195524934,0.5122235880447507,1,2,2,1,11,12,1,2,0,1,31.0,67.0,14,0.42857142857142855,0.3163265306122449,False,True,1415.2942857142857
2025,Juschka,3,11,0,1380.68,1465.22,0.4796737057942341,0.5203262942057659,3,5,8,4,6,6,2,2,0,1,46.0,52.0,14,0.21428571428571427,0.46938775510204084,False,True,1395.9885714285715
2025,Kessi,7,7,0,1360.92,1281.66,0.5152820821037506,0.48471791789624946,1,6,8,2,5,6,3,1,0,2,50.0,48.0,14,0.5,0.5102040816326531,False,False,1398.8114285714287
2025,Marv,10,4,0,1449.98,1306.14,0.5268099381534985,0.4731900618465015,3,5,8,1,3,6,3,0,1,0,55.0,43.0,14,0.7142857142857143,0.5612244897959183,True,False,1386.0885714285716
2025,Ritz,10,4,0,1487.26,1382.16,0.5164951506941983,0.4835048493058017,0,6,9,1,3,5,2,2,2,0,56.5,41.5,14,0.7142857142857143,0.576530612244898,True,False,1380.7628571428572
2025,Simi,6,8,0,1402.96,1366.06,0.5020617335345512,0.49793826646544886,2,4,6,1,7,8,2,1,0,0,45.0,53.0,14,0.42857142857142855,0.45918367346938777,False,True,1392.8057142857142
2025,Tommy,5,9,0,1381.42,1521.52,0.4793014004506581,0.5206985995493418,0,8,9,3,4,5,1,3,2,2,50.5,47.5,14,0.35714285714285715,0.5153061224489796,False,True,1395.8828571428571
