#,Player,Pos,Team,TTL,VORP
142,Danny Vitale,RB,FA,1.9,0
182,Mike Thomas,WR,FA,1.8,0
101,Chris Manhertz,TE,NYG,1.7,0
143,Michael Burton,RB,DEN,1.7,0
183,Allen Robinson II,WR,FA,1.7,0
102,Cole Hikutini,TE,FA,1.5,0
56,Cooper Rush,QB,BAL,1.4,0
144,LeShun Daniels,RB,FA,1.4,0
144,Matt Jones,RB,FA,1.4,0
57,Paxton Lynch,QB,FA,1.3,0
58,Scott Tolzien,QB,FA,1.3,0
184,Darius Powe,WR,FA,1.3,0
185,Arrelious Benn,WR,FA,1.2,0
185,Jeff Janis,WR,FA,1.2,0
146,Taiwan Jones,RB,FA,1.1,0
42,Marshall Koehn,K,FA,1,0
147,Raheem Mostert,RB,LV,1,0
187,Jehu Chesson,WR,FA,1,0
103,Neal Sterling,TE,FA,0.8,0
148,Terrell Watson,RB,FA,0.8,0
188,Harry Douglas,WR,FA,0.8,0
59,Taylor Heinicke,QB,FA,0.6,0
189,Kevin White,WR,FA,0.6,0
60,Derek Anderson,QB,FA,0.5,0
149,De'Angelo Henderson Sr.,RB,FA,0.5,0
190,Larry Pinkard,WR,FA,0.5,0
190,Eric Weems,WR,FA,0.5,0
192,Max McCaffrey,WR,FA,0.4,0
104,Ryan Malleck,TE,FA,0.3,0
150,Joe Kerridge,RB,FA,0.3,0
150,Fitzgerald Toussaint,RB,FA,0.3,0
193,Charone Peake,WR,FA,0.3,0
105,Jeff Cumberland,TE,FA,0.2,0
152,John Kuhn,RB,FA,0.2,0
153,Justin Davis,RB,FA,0.1,0
194,Matt Hazel,WR,FA,0.1,0
61,Darius Hillary,QB,FA,0,0
61,David Fales,QB,FA,0,0
61,Sean Mannion,QB,FA,0,0
61,Colt McCoy,QB,FA,0,0
72,Joe Callahan,QB,FA,0,0
72,Nate Sudfeld,QB,FA,0,0
72,Tyler Bray,QB,FA,0,0
72,Patrick Mahomes II,QB,KC,0,0
106,Blake Jarwin,TE,FA,0,0
106,Sean Culkin,TE,FA,0,0
106,Logan Paulsen,TE,FA,0,0
106,MyCole Pruitt,TE,FA,0,0
106,Pharaoh Brown,TE,ARI,0,0
106,Garrett Griffin,TE,FA,0,0
106,Jim Dray,TE,FA,0,0
106,Gavin Escobar,TE,FA,0,0
106,Ben Braunecker,TE,FA,0,0
106,Johnny Mundt,TE,JAC,0,0
106,Jason Vander Laan,TE,FA,0,0
106,Kyle Nelson,TE,FA,0,0
106,Gabe Holmes,TE,FA,0,0
106,Kyle Carter,TE,FA,0,0
106,Khari Lee,TE,FA,0,0
106,Hakeem Valles,TE,FA,0,0
106,John Phillips,TE,FA,0,0
106,Evan Baylis,TE,FA,0,0
106,Ryan O'Malley,TE,FA,0,0
106,Henry Krieger-Coble,TE,FA,0,0
106,Cethan Carter,TE,FA,0,0
106,Clark Harris,TE,FA,0,0
106,Beau Brinkley,TE,FA,0,0
106,Eric Saubert,TE,SEA,0,0
106,Matt Lengel,TE,FA,0,0
106,Tyrone Swoopes,TE,FA,0,0
